ibge7,tempo_medio_analise,tempo_medio_liberacao,qtd
4215802,84 days 08:00:00,564 days 16:00:00,3
4215901,285 days 00:00:00,405 days 00:00:00,1
4216305,106 days 06:00:00,198 days 18:00:00,4
4216354,105 days 00:00:00,193 days 00:00:00,1
4216800,301 days 00:00:00,-5 days +00:00:00,1
4216909,14 days 00:00:00,69 days 00:00:00,1
4217402,54 days 00:00:00,197 days 00:00:00,1
4217808,91 days 00:00:00,91 days 00:00:00,1
4218608,180 days 12:00:00,153 days 00:00:00,2
4218707,325 days 00:00:00,-2 days +00:00:00,1
4219002,201 days 00:00:00,224 days 00:00:00,1
4219150,21 days 00:00:00,159 days 00:00:00,1
4219200,143 days 12:00:00,183 days 00:00:00,2
4219705,11 days 00:00:00,21 days 00:00:00,1
4300703,77 days 12:00:00,191 days 12:00:00,2
4300877,73 days 00:00:00,101 days 00:00:00,1
4300901,33 days 00:00:00,118 days 00:00:00,1
4301008,31 days 00:00:00,288 days 12:00:00,2
4301057,142 days 00:00:00,111 days 00:00:00,1
4301206,82 days 16:00:00,203 days 00:00:00,3
4301404,32 days 12:00:00,364 days 00:00:00,2
4301925,54 days 08:00:00,161 days 04:00:00,6
4302006,96 days 00:00:00,209 days 00:00:00,1
4302055,12 days 00:00:00,41 days 00:00:00,2
4302105,34 days 12:00:00,150 days 00:00:00,2
4302352,70 days 00:00:00,124 days 00:00:00,1
4302451,9 days 18:00:00,223 days 18:00:00,4
4302501,28 days 00:00:00,176 days 00:00:00,1
4302808,199 days 00:00:00,251 days 00:00:00,1
4303004,136 days 00:00:00,104 days 00:00:00,1
4303202,147 days 00:00:00,185 days 00:00:00,2
4303608,87 days 00:00:00,90 days 00:00:00,1
4303905,146 days 00:00:00,203 days 00:00:00,1
4304101,14 days 00:00:00,99 days 00:00:00,2
4304200,29 days 00:00:00,55 days 00:00:00,1
4304309,137 days 12:00:00,200 days 00:00:00,2
4304358,144 days 00:00:00,121 days 00:00:00,1
4304614,9 days 08:00:00,124 days 00:00:00,3
4304804,26 days 00:00:00,154 days 00:00:00,1
4304903,17 days 00:00:00,257 days 00:00:00,1
4305132,44 days 16:00:00,173 days 08:00:00,3
4305504,64 days 16:00:00,116 days 16:00:00,3
4305587,166 days 12:00:00,324 days 12:00:00,2
4305801,71 days 16:00:00,72 days 16:00:00,3
4305835,17 days 00:00:00,101 days 00:00:00,3
4305900,19 days 00:00:00,168 days 00:00:00,1
4305934,68 days 00:00:00,125 days 00:00:00,1
4306007,45 days 00:00:00,80 days 00:00:00,1
4306056,96 days 00:00:00,116 days 00:00:00,2
4306130,157 days 00:00:00,172 days 00:00:00,1
4306205,7 days 00:00:00,324 days 00:00:00,1
4306429,13 days 00:00:00,34 days 00:00:00,1
4306502,160 days 00:00:00,217 days 00:00:00,1
4306759,43 days 12:00:00,214 days 12:00:00,2
4306809,26 days 14:24:00,116 days 00:00:00,5
4306908,18 days 00:00:00,190 days 00:00:00,2
4307054,141 days 00:00:00,215 days 00:00:00,1
4307203,12 days 00:00:00,242 days 00:00:00,1
4307302,18 days 00:00:00,276 days 00:00:00,1
4307500,131 days 12:00:00,136 days 12:00:00,2
4307906,57 days 16:00:00,200 days 08:00:00,3
4308102,38 days 00:00:00,123 days 08:00:00,3
4308201,29 days 00:00:00,104 days 00:00:00,1
4308250,22 days 00:00:00,150 days 00:00:00,1
4308300,59 days 00:00:00,177 days 00:00:00,3
4308433,5 days 00:00:00,184 days 00:00:00,1
4308508,51 days 00:00:00,118 days 00:00:00,1
4309100,64 days 00:00:00,104 days 12:00:00,2
4309159,38 days 00:00:00,329 days 00:00:00,1
4309308,13 days 00:00:00,81 days 00:00:00,2
4309407,47 days 12:00:00,283 days 00:00:00,2
4309753,59 days 00:00:00,127 days 00:00:00,1
4309951,6 days 00:00:00,433 days 00:00:00,1
4310108,73 days 12:00:00,169 days 12:00:00,2
4310306,45 days 00:00:00,212 days 00:00:00,1
4310363,34 days 08:00:00,108 days 08:00:00,9
4310579,107 days 00:00:00,191 days 00:00:00,2
4310652,31 days 00:00:00,326 days 00:00:00,1
4310751,16 days 12:00:00,193 days 00:00:00,2
4310876,28 days 00:00:00,147 days 00:00:00,1
4310900,144 days 00:00:00,49 days 00:00:00,1
4311239,25 days 00:00:00,155 days 00:00:00,1
4311254,49 days 00:00:00,74 days 00:00:00,1
4311403,173 days 00:00:00,355 days 00:00:00,1
4311601,20 days 00:00:00,225 days 00:00:00,1
4311734,21 days 00:00:00,82 days 00:00:00,1
4311775,134 days 00:00:00,446 days 12:00:00,2
4311809,67 days 16:00:00,108 days 00:00:00,3
4312005,18 days 00:00:00,85 days 00:00:00,1
4312302,165 days 00:00:00,45 days 00:00:00,1
4312351,13 days 00:00:00,132 days 00:00:00,1
4312385,23 days 00:00:00,307 days 00:00:00,1
4312443,51 days 00:00:00,180 days 00:00:00,1
4312609,81 days 00:00:00,174 days 12:00:00,2
4312617,136 days 00:00:00,1014 days 00:00:00,1
4312625,13 days 00:00:00,128 days 00:00:00,1
4312658,105 days 00:00:00,105 days 00:00:00,2
4312708,40 days 00:00:00,138 days 00:00:00,1
4312757,27 days 00:00:00,182 days 00:00:00,1
4312807,8 days 00:00:00,259 days 00:00:00,1
4312906,20 days 00:00:00,201 days 00:00:00,2
4313003,28 days 06:00:00,128 days 12:00:00,4
4313300,62 days 08:00:00,266 days 08:00:00,3
4313466,14 days 00:00:00,209 days 00:00:00,1
4313706,64 days 00:00:00,160 days 00:00:00,1
4313805,20 days 00:00:00,216 days 00:00:00,1
4313953,45 days 00:00:00,254 days 00:00:00,1
4314027,254 days 00:00:00,166 days 00:00:00,1
4314100,44 days 00:00:00,388 days 00:00:00,1
4314423,28 days 00:00:00,485 days 00:00:00,1
4314456,15 days 00:00:00,107 days 00:00:00,1
4314506,42 days 00:00:00,98 days 00:00:00,1
4314787,160 days 00:00:00,-2 days +00:00:00,1
4315131,23 days 00:00:00,301 days 00:00:00,1
